id,eventId,abbreviation,startDateTime
2022-20-FP1,2022-20,FP1,
2022-21-FP1,2022-21,FP1,
2022-22-FP1,2022-22,FP1,
1986-15-FP2,1986-15,FP2,
1986-16-FP2,1986-16,FP2,
1988-01-FP2,1988-01,FP2,
1988-02-FP2,1988-02,FP2,
1988-03-FP2,1988-03,FP2,
1988-04-FP2,1988-04,FP2,
1988-05-FP2,1988-05,FP2,
1988-06-FP2,1988-06,FP2,
1988-07-FP2,1988-07,FP2,
1988-08-FP2,1988-08,FP2,
1988-09-FP2,1988-09,FP2,
1988-10-FP2,1988-10,FP2,
1988-11-FP2,1988-11,FP2,
1988-12-FP2,1988-12,FP2,
1988-13-FP2,1988-13,FP2,
1988-14-FP2,1988-14,FP2,
1988-15-FP2,1988-15,FP2,
1988-16-FP2,1988-16,FP2,
1989-01-FP2,1989-01,FP2,
1989-02-FP2,1989-02,FP2,
1989-03-FP2,1989-03,FP2,
1989-04-FP2,1989-04,FP2,
1989-05-FP2,1989-05,FP2,
1989-06-FP2,1989-06,FP2,
1989-07-FP2,1989-07,FP2,
1989-08-FP2,1989-08,FP2,
1989-09-FP2,1989-09,FP2,
1989-10-FP2,1989-10,FP2,
1989-11-FP2,1989-11,FP2,
1989-12-FP2,1989-12,FP2,
1989-13-FP2,1989-13,FP2,
1989-14-FP2,1989-14,FP2,
1989-15-FP2,1989-15,FP2,
1989-16-FP2,1989-16,FP2,
1990-01-FP2,1990-01,FP2,
1990-02-FP2,1990-02,FP2,
1990-03-FP2,1990-03,FP2,
1990-04-FP2,1990-04,FP2,
1990-05-FP2,1990-05,FP2,
1990-06-FP2,1990-06,FP2,
1990-07-FP2,1990-07,FP2,
1990-08-FP2,1990-08,FP2,
1990-09-FP2,1990-09,FP2,
1990-10-FP2,1990-10,FP2,
1990-11-FP2,1990-11,FP2,
1990-12-FP2,1990-12,FP2,
1990-13-FP2,1990-13,FP2,
1990-14-FP2,1990-14,FP2,
1990-15-FP2,1990-15,FP2,
1990-16-FP2,1990-16,FP2,
1991-01-FP2,1991-01,FP2,
1991-02-FP2,1991-02,FP2,
1991-03-FP2,1991-03,FP2,
1991-04-FP2,1991-04,FP2,
1991-05-FP2,1991-05,FP2,
1991-06-FP2,1991-06,FP2,
1991-07-FP2,1991-07,FP2,
1991-08-FP2,1991-08,FP2,
1991-09-FP2,1991-09,FP2,
1991-10-FP2,1991-10,FP2,
1991-11-FP2,1991-11,FP2,
1991-12-FP2,1991-12,FP2,
1991-13-FP2,1991-13,FP2,
1991-14-FP2,1991-14,FP2,
1991-15-FP2,1991-15,FP2,
1991-16-FP2,1991-16,FP2,
1992-01-FP2,1992-01,FP2,
1992-02-FP2,1992-02,FP2,
1992-03-FP2,1992-03,FP2,
1992-04-FP2,1992-04,FP2,
1992-05-FP2,1992-05,FP2,
1992-06-FP2,1992-06,FP2,
1992-07-FP2,1992-07,FP2,
1992-08-FP2,1992-08,FP2,
1992-09-FP2,1992-09,FP2,
1992-10-FP2,1992-10,FP2,
1992-11-FP2,1992-11,FP2,
1992-12-FP2,1992-12,FP2,
1992-13-FP2,1992-13,FP2,
1992-14-FP2,1992-14,FP2,
1992-15-FP2,1992-15,FP2,
1992-16-FP2,1992-16,FP2,
1993-01-FP2,1993-01,FP2,
1993-02-FP2,1993-02,FP2,
1993-03-FP2,1993-03,FP2,
1993-04-FP2,1993-04,FP2,
1993-05-FP2,1993-05,FP2,
1993-06-FP2,1993-06,FP2,
1993-07-FP2,1993-07,FP2,
1993-08-FP2,1993-08,FP2,
1993-09-FP2,1993-09,FP2,
1993-10-FP2,1993-10,FP2,
1993-11-FP2,1993-11,FP2,
1993-12-FP2,1993-12,FP2,
1993-13-FP2,1993-13,FP2,
1993-14-FP2,1993-14,FP2,
